
time 02h 34m 02s, episodes 5171, frames 32.6 M, mean_epr 0.26, run_loss -172.81
time 02h 35m 02s, episodes 5191, frames 32.8 M, mean_epr 0.27, run_loss -169.98
time 02h 36m 02s, episodes 5210, frames 33.0 M, mean_epr 0.02, run_loss -171.90
time 02h 37m 02s, episodes 5233, frames 33.3 M, mean_epr -0.07, run_loss -173.08
time 02h 38m 02s, episodes 5251, frames 33.5 M, mean_epr -0.11, run_loss -175.78
time 02h 39m 02s, episodes 5273, frames 33.7 M, mean_epr -0.20, run_loss -174.12
time 02h 40m 02s, episodes 5294, frames 33.9 M, mean_epr -0.22, run_loss -174.55

	34M frames: saved model

time 02h 41m 02s, episodes 5316, frames 34.1 M, mean_epr -0.11, run_loss -176.52
time 02h 42m 02s, episodes 5336, frames 34.3 M, mean_epr -0.01, run_loss -176.53
time 02h 43m 02s, episodes 5356, frames 34.5 M, mean_epr 0.34, run_loss -176.29
time 02h 44m 02s, episodes 5376, frames 34.7 M, mean_epr 0.44, run_loss -176.25
time 02h 45m 02s, episodes 5399, frames 34.9 M, mean_epr 0.50, run_loss -174.90
time 02h 46m 02s, episodes 5421, frames 35.1 M, mean_epr 0.88, run_loss -172.43
time 02h 47m 02s, episodes 5441, frames 35.3 M, mean_epr 1.56, run_loss -171.67
time 02h 48m 02s, episodes 5460, frames 35.5 M, mean_epr 2.08, run_loss -171.80
time 02h 49m 02s, episodes 5484, frames 35.8 M, mean_epr 1.63, run_loss -174.73
time 02h 50m 02s, episodes 5502, frames 36.0 M, mean_epr 1.67, run_loss -173.15

	36M frames: saved model

time 02h 51m 02s, episodes 5523, frames 36.2 M, mean_epr 1.61, run_loss -174.23
time 02h 52m 02s, episodes 5546, frames 36.4 M, mean_epr 1.35, run_loss -174.98
time 02h 53m 02s, episodes 5568, frames 36.6 M, mean_epr 1.30, run_loss -172.69
time 02h 54m 02s, episodes 5589, frames 36.8 M, mean_epr 0.99, run_loss -174.84
time 02h 55m 02s, episodes 5609, frames 37.0 M, mean_epr 1.14, run_loss -173.31
